"This leaderboard is the average results of 40 runs done between 1,433 competitors. (After many handshake, kingmaker, minion, and random.seed manipulators had been removed.)",,,,,,,,,,,,,,
"More improvements: For these runs, the order in which the 1v1s were conducted was also randomized, just in case there were any lingering effects between game-to-game (there shouldn't be, but I just wanted to be safe)",,,,,,,,,,,,,,
THIS LEADERBOARD IS NOT FINALIZED!,,,,,,,,,,,,,,
ID,Rank,Author,Strategy name,Passed sanity check? (no crash),Trial count,Average of (SCORE*100),95% margin of error of (SCORE*100),Stdev of (SCORE*100),% turns cooperated (equal weight to each game regardless of game length),% coop rate stdev across diff opponents,Days after announcement submitted,Non-empty lines of code,"Runtime against 9 defaults (in ms) (~2,250 runs)",A/B branch
userStrats.s868,#1,Simon,RandomFinder.py,TRUE,300,288.184,±0.029,45.667,89.137,26.481,5.42139,36,94.145,1
userStrats.s1325,#2,Vanderlism,just_clever_enough.py,TRUE,300,288.003,±0.025,47.322,88.942,27.138,6.88757,41,100.483,1
userStrats.s704,#3,Sami,friendlyLookup.py,TRUE,300,286.983,±0.033,54.637,84.668,30.795,4.08069,136,7410.178,2
userStrats.s1382,#4,Chiberty and Silivek (two people),burntBrass.py,TRUE,300,286.606,±0.029,48.732,89.277,26.758,6.95295,44,216.727,1
userStrats.s1205,#5,usedToBeTomas,n3ptune.py,TRUE,300,286.304,±0.038,52.027,87.778,29.055,6.67175,87,105.486,1
userStrats.s648,#6,da Finnci,daFinnciAgent.py,TRUE,300,286.286,±0.031,50.082,88.53,28.229,3.69971,79,201.459,1
userStrats.s1569,#7,Angel-IG,PacificAntiRandomTFT.G.py,TRUE,300,286.108,±0.034,51.053,87.871,28.815,7.74818,64,101.483,2
userStrats.s126,#8,Caenbe,UwU..py,TRUE,300,285.513,±0.037,41.33,89.636,24.559,0.23447,12,108.919,0
userStrats.s1334,#9,Albus,circuitBreaker.py,TRUE,300,285.353,±0.020,39.677,91.845,20.767,6.89461,32,106.16,2
userStrats.s1589,#10,Jun Wong,tittat_detection.py,TRUE,300,285.344,±0.020,39.353,91.576,21.101,8.01096,146,133.86,1
userStrats.s682,#11,CowSoCool37,forgivingGrimTrigger.py,TRUE,40,285.256,±0.067,55.421,86.368,31.952,3.91498,20,98.922,1
userStrats.s1239,#12,DillwynKnox,peaceoffer.py,TRUE,40,285.192,±0.068,39.662,91.3,21.59,6.74854,20,92.901,2
userStrats.s122,#13,duskcheetah,duskbot.py,TRUE,40,285.054,±0.096,41.833,89.947,24.487,0.21851,63,94.388,0
userStrats.s1264,#14,Jonathan,randomly_forgiving_tit_for_tat.py,TRUE,40,284.946,±0.079,40.029,91.401,20.989,6.80451,26,98.928,3
userStrats.s1269,#15,Visual-mov,charlie..py,TRUE,40,284.94,±0.096,46.054,88.742,26.738,6.8102,27,107.982,3
userStrats.s1393,#16,Critonic (Crits for short),BitBot.py,TRUE,40,284.938,±0.088,54.179,87.721,28.358,6.96647,157,170.384,0
userStrats.s291,#17,meta,MinecraftVillager.py,TRUE,40,284.929,±0.068,40.181,91.655,20.478,0.85956,19,98.203,2
userStrats.s1249,#18,CamelCaseCam,Niceish.py,TRUE,40,284.909,±0.067,41.864,90.311,24.063,6.76296,76,94.884,3
userStrats.s878,#19,Patj,procrastinated_tft.py,TRUE,40,284.891,±0.108,42.533,88.698,24.929,5.51671,29,97.275,2
userStrats.s398,#20,Hannnper,hannnpers_strategy.py,TRUE,40,284.862,±0.074,40.009,90.633,22.481,1.54094,30,98.216,2
userStrats.s52,#21,John Love,jlove.py,TRUE,40,284.849,±0.087,40.25,91.098,21.825,0.09866,30,91.487,3
userStrats.s806,#22,The Fumino Team,FUMINO..py,TRUE,40,284.814,±0.141,56.853,86.149,31.714,4.97288,130,139.52,1
